firmware_size,done,not_done,missing,attempts,duration_sec,AA00.vcc,0235.vcc,0237.vcc,0238.vcc,0239.vcc,0240.vcc,0241.vcc,0242.vcc,AA00.ReadRate,0235.ReadRate,0237.ReadRate,0238.ReadRate,0239.ReadRate,0240.ReadRate,0241.ReadRate,0242.ReadRate,AA00.peak_rssi,0235.peak_rssi,0237.peak_rssi,0238.peak_rssi,0239.peak_rssi,0240.peak_rssi,0241.peak_rssi,0242.peak_rssi
407,4,0,4,1,10.4575605,0,0,3894,0,3788,0,3920,3866,0,0,85.2955560551733,0,42.644251364871,0,146.351354217795,193.527531884124,0,0,-16,0,-18,0,-17,-17
407,4,0,4,1,9.8122134,0,0,3832,0,3714,0,3944,3878,0,0,74.1180175341774,0,76.0588637098296,0,165.485602411885,252.023976335046,0,0,-18,0,-18,0,-17,-17
407,4,0,4,1,10.0125861,0,0,3866,0,3768,0,3902,3846,0,0,345.254340981473,0,79.8924509524462,0,229.349602915122,226.244299381409,0,0,-18,0,-19,0,-17,-17
407,3,0,5,1,20.0852976,0,0,3834,0,3726,0,3924,3866,0,0,113.827654834562,0,76.2018994065653,0,55.3645642863167,248.040872392359,0,0,-16,0,-19,0,-17,-16
407,4,0,4,1,10.7818238,0,0,3812,0,3722,0,3948,3882,0,0,130.088679348336,0,102.333607944454,0,137.607446091805,190.088480934173,0,0,-18,0,-19,0,-17,-17
407,4,0,4,1,9.9212,0,0,3820,0,3726,0,3936,3870,0,0,121.005394791323,0,57.5670299764209,0,89.6518040866411,229.866159454648,0,0,-18,0,-18,0,-17,-16
407,4,0,4,1,10.3978097,0,0,3854,0,3768,0,3898,3846,0,0,138.858533957023,0,101.684670556822,0,162.890071733081,184.294572544341,0,0,-17,0,-20,0,-16,-17
407,4,0,4,1,9.9626604,0,0,3800,0,3710,0,3936,3854,0,0,87.3485284701114,0,80.3881656710774,0,64.4299687375879,225.861028303656,0,0,-18,0,-17,0,-17,-16
407,4,0,4,1,9.9768187,0,0,3800,0,3718,0,3936,3882,0,0,169.017656678635,0,62.5188105913508,0,128.937414072249,330.961636860105,0,0,-18,0,-20,0,-17,-17
407,4,0,4,1,9.80436,0,0,3816,0,3742,0,3924,3862,0,0,102.926874117761,0,72.2349238045244,0,116.651750730235,247.009554131946,0,0,-16,0,-18,0,-17,-16
407,4,0,4,1,9.7119906,0,0,3862,0,3772,0,3890,3828,0,0,117.663600359833,0,168.078825409801,0,130.403753731326,272.652481888367,0,0,-18,0,-18,0,-16,-16
407,4,0,4,1,10.1883938,0,0,3808,0,3730,0,3928,3874,0,0,217.092902132962,0,134.32547295707,0,133.122720880717,294.322032597671,0,0,-17,0,-17,0,-16,-16
407,4,0,4,1,10.2079872,0,0,3866,0,3772,0,3874,3834,0,0,142.124805318626,0,95.7223554330923,0,124.21762612624,215.484266450723,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,10.1987886,0,0,3834,0,3726,0,3916,3870,0,0,129.457265127008,0,90.2156339967418,0,69.5429227734658,369.035042862882,0,0,-18,0,-18,0,-17,-16
407,4,0,4,1,9.5494689,0,0,3862,0,3776,0,3874,3828,0,0,130.603568187681,0,99.1732485955202,0,70.6047374209815,395.041145544823,0,0,-17,0,-18,0,-17,-16
407,4,0,4,1,9.8514478,0,0,3816,0,3734,0,3932,3866,0,0,106.649002431894,0,115.413981072107,0,92.5754945771935,156.535905694107,0,0,-18,0,-18,0,-17,-16
407,4,0,4,1,10.2584568,0,0,3824,0,3714,0,3940,3874,0,0,119.754031061859,0,41.8611221253456,0,212.046167703229,187.634333544236,0,0,-18,0,-17,0,-16,-17
407,4,0,4,1,9.800888,0,0,3800,0,3722,0,3936,3878,0,0,171.447185694447,0,62.9531720408498,0,139.308628689393,264.039017422803,0,0,-19,0,-19,0,-16,-16
407,4,0,4,1,9.9917549,0,0,3854,0,3768,0,3874,3838,0,0,93.7756649188199,0,60.2017073006808,0,119.309068366758,238.453904298398,0,0,-17,0,-19,0,-17,-17
407,4,0,4,1,10.1774152,0,0,3832,0,3746,0,3914,3866,0,0,124.629906053779,0,171.100358272282,0,118.466884507523,161.843563984754,0,0,-16,0,-19,0,-16,-16
407,4,0,4,2,14.6171066,0,0,3850,0,3768,0,3886,3834,0,0,182.595761606922,0,144.078440250227,0,81.7567415821092,299.331476624821,0,0,-16,0,-19,0,-17,-16
407,4,0,4,1,9.9449457,0,0,3850,0,3722,0,3898,3834,0,0,179.11422437081,0,47.9281961284386,0,72.27568995448,321.191293626735,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,10.0216828,0,0,3850,0,3768,0,3890,3828,0,0,190.193279732334,0,100.501532204977,0,117.047725865964,307.748305934066,0,0,-16,0,-18,0,-16,-16
407,4,0,4,1,10.0472898,0,0,3850,0,3730,0,3910,3834,0,0,168.380560732142,0,64.0906498150985,0,52.5484819460136,281.771234996637,0,0,-16,0,-18,0,-16,-16
407,4,0,4,1,10.0825259,0,0,3832,0,3760,0,3894,3850,0,0,80.7300199107795,0,162.41978308395,0,192.751463214711,183.822770470632,0,0,-16,0,-19,0,-16,-16
407,4,0,4,1,10.1201587,0,0,3832,0,3750,0,3920,3854,0,0,96.9400149875138,0,45.0383986616938,0,125.189385622332,466.031346421226,0,0,-16,0,-20,0,-16,-16
407,4,0,4,1,10.2665837,0,0,3832,0,3750,0,3916,3854,0,0,57.4745219407997,0,117.906955361021,0,142.39807857526,237.256766093398,0,0,-16,0,-18,0,-16,-16
407,4,0,4,2,14.4122417,0,0,3882,0,3764,0,3898,3838,0,0,101.721000824039,0,27.6489058982325,0,136.106150962433,237.587741103497,0,0,-16,0,-18,0,-17,-16
407,4,0,4,1,9.6389793,0,0,3792,0,3726,0,3944,3882,0,0,163.275048676374,0,162.280288765627,0,202.831764347145,126.019644329911,0,0,-18,0,-17,0,-17,-16
407,4,0,4,1,10.1851295,0,0,3828,0,3752,0,3916,3854,0,0,174.297002091564,0,177.229652411298,0,66.8646581637765,358.773309821395,0,0,-16,0,-19,0,-17,-16
407,4,0,4,1,10.4010119,0,0,3854,0,3776,0,3902,3838,0,0,104.237284585614,0,109.094167747868,0,90.4745301550636,334.645226932754,0,0,-16,0,-19,0,-17,-16
407,4,0,4,1,10.1652674,0,0,3866,0,3722,0,3940,3866,0,0,63.5739411393331,0,195.587334585679,0,59.5973641160558,299.795231068395,0,0,-16,0,-19,0,-16,-17
407,4,0,4,1,10.0678347,0,0,3854,0,3772,0,3902,3842,0,0,59.484359826841,0,72.3622139189611,0,113.891076752979,315.525153042063,0,0,-16,0,-19,0,-16,-16
407,4,0,4,1,10.4193941,0,0,3850,0,3768,0,3894,3838,0,0,117.325919378126,0,133.930042180143,0,142.533249297292,312.235666894891,0,0,-16,0,-19,0,-17,-17
407,4,0,4,1,9.9593167,0,0,3792,0,3718,0,3940,3886,0,0,79.1788237115748,0,104.572874050574,0,142.545481527912,136.573027646478,0,0,-19,0,-19,0,-16,-16
407,4,0,4,1,9.8651535,0,0,3780,0,3718,0,3916,3874,0,0,131.502229061656,0,172.011869609862,0,149.123931467776,203.357993287014,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,9.9858967,0,0,3854,0,3780,0,3898,3828,0,0,161.54804145029,0,89.0586200474477,0,120.231313316938,161.225832247746,0,0,-16,0,-19,0,-16,-16
407,4,0,4,1,10.06654,0,0,3878,0,3764,0,3916,3842,0,0,69.1648414559041,0,279.587550075069,0,34.5406439757663,364.008353449152,0,0,-16,0,-20,0,-17,-16
407,4,0,4,1,10.1195099,0,0,3820,0,3738,0,3920,3854,0,0,236.606605589057,0,48.6786710216553,0,71.9314738010506,187.53023074769,0,0,-16,0,-19,0,-16,-16
407,4,0,4,1,10.6337116,0,0,3824,0,3746,0,3898,3850,0,0,182.721915021003,0,93.3325045936472,0,95.2094946081673,378.6979057411,0,0,-16,0,-19,0,-16,-16
407,4,0,4,1,9.9195133,0,0,3812,0,3734,0,3928,3866,0,0,92.0296121604961,0,72.2269763403224,0,92.8601142396737,206.393518176998,0,0,-19,0,-18,0,-16,-16
407,4,0,4,1,9.7685682,0,0,3792,0,3722,0,3920,3886,0,0,114.90403383488,0,136.678063438232,0,75.1803165269384,252.018196306757,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,9.7589485,0,0,3850,0,3768,0,3882,3838,0,0,77.9191061593574,0,79.8859819925162,0,55.1765180562692,452.232610326037,0,0,-16,0,-19,0,-17,-17
407,4,0,4,1,10.2204299,0,0,3842,0,3764,0,3882,3828,0,0,157.62821303706,0,145.939538805761,0,109.827917148541,315.753015076964,0,0,-16,0,-16,0,-16,-16
407,4,0,4,1,10.1802344,0,0,3820,0,3738,0,3910,3842,0,0,92.0537920169226,0,160.106932256264,0,197.322411505927,243.19452670611,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,10.275038,0,0,3854,0,3776,0,3886,3846,0,0,114.502409402394,0,162.926896350273,0,94.9289350368363,368.932619831203,0,0,-17,0,-17,0,-16,-16
407,3,0,5,1,19.9638384,0,0,3854,0,3772,0,3886,3842,0,0,162.789929108909,0,120.604315869567,0,135.108753735316,244.688593635669,0,0,-18,0,-17,0,-16,-17
407,4,0,4,1,10.0487955,0,0,3846,0,3746,0,3890,3846,0,0,132.992714363568,0,82.7413224545568,0,136.699497821118,288.029616915694,0,0,-17,0,-16,0,-16,-16
407,4,0,4,1,10.0256996,0,0,3866,0,3784,0,3882,3838,0,0,190.0499958189,0,49.696650669867,0,130.461048371354,324.067879082781,0,0,-16,0,-16,0,-16,-16
407,4,0,4,1,10.0817393,0,0,3854,0,3780,0,3878,3828,0,0,150.54059921497,0,106.950187653017,0,188.8551157934,208.578342865825,0,0,-17,0,-16,0,-16,-16
407,4,0,4,1,9.8386676,0,0,3858,0,3780,0,3878,3820,0,0,197.547448427769,0,79.990108877401,0,73.9421248087857,279.894948724034,0,0,-17,0,-16,0,-16,-16
407,4,0,4,1,10.2016956,0,0,3800,0,3730,0,3932,3870,0,0,96.2273718662074,0,88.425096558262,0,139.591031237468,277.146096789689,0,0,-18,0,-18,0,-17,-16
407,4,0,4,1,10.2540439,0,0,3804,0,3726,0,3936,3866,0,0,137.424503022803,0,99.4007886575514,0,116.722377284658,310.196167472869,0,0,-18,0,-18,0,-17,-16
407,4,0,4,1,9.833813,0,0,3854,0,3776,0,3878,3816,0,0,225.92736666882,0,231.686083891214,0,216.923587750315,122.388888476643,0,0,-16,0,-16,0,-16,-16
407,3,0,5,1,19.6328003,0,0,3796,0,3730,0,3940,3870,0,0,177.278626967294,0,123.685332049343,0,133.082594069237,285.490692954857,0,0,-17,0,-17,0,-16,-16
407,4,0,4,1,9.8753644,0,0,3866,0,3722,0,3878,3834,0,0,247.95938248901,0,107.793721231326,0,60.621218873693,180.816767911025,0,0,-17,0,-17,0,-17,-16
407,4,0,4,1,10.3110924,0,0,3792,0,3718,0,3940,3874,0,0,85.2882979749617,0,90.173490855967,0,210.366879838438,202.512425898307,0,0,-17,0,-17,0,-16,-16
407,4,0,4,1,10.0423768,0,0,3812,0,3734,0,3928,3850,0,0,130.304839845065,0,184.167366600621,0,146.711505615089,297.324034784956,0,0,-16,0,-17,0,-16,-16
407,4,0,4,1,9.8159352,0,0,3792,0,3718,0,3936,3874,0,0,101.128349280982,0,125.41836504036,0,211.742747713761,180.582384013682,0,0,-17,0,-16,0,-16,-16
407,4,0,4,1,9.8283979,0,0,3796,0,3726,0,3936,3874,0,0,147.602086030761,0,222.355285572074,0,72.6524282306915,225.728561012811,0,0,-16,0,-18,0,-16,-17
407,4,0,4,1,10.2878294,0,0,3824,0,3746,0,3928,3866,0,0,118.211518825923,0,65.9926876162259,0,135.819646469334,333.605761637207,0,0,-16,0,-19,0,-16,-16
407,4,0,4,1,9.8212601,0,0,3850,0,3772,0,3898,3838,0,0,189.686872184366,0,95.3176904228814,0,148.233081304373,208.087170464029,0,0,-16,0,-19,0,-16,-16
407,4,0,4,1,10.1881589,0,0,3828,0,3746,0,3914,3846,0,0,117.757190706603,0,150.828887449149,0,221.572599865832,261.392815584453,0,0,-16,0,-18,0,-16,-16
407,4,0,4,1,10.3509302,0,0,3850,0,3768,0,3886,3834,0,0,101.74474630241,0,126.178842957616,0,127.052955867472,339.0972040214,0,0,-16,0,-19,0,-17,-16
407,4,0,4,1,10.4686559,0,0,3882,0,3768,0,3894,3838,0,0,186.470537411018,0,58.564536362135,0,97.5366152453631,272.098626487095,0,0,-16,0,-20,0,-16,-16
407,4,0,4,1,9.4982406,0,0,3788,0,3714,0,3928,3870,0,0,109.780532200476,0,96.1666141959602,0,91.2216529926379,390.076757790667,0,0,-18,0,-18,0,-16,-16
407,4,0,4,1,10.1373979,0,0,3832,0,3752,0,3916,3842,0,0,113.521921872831,0,81.9180347883193,0,86.7713951390862,338.16601821936,0,0,-16,0,-19,0,-16,-16
407,4,0,4,1,10.6134133,0,0,3832,0,3746,0,3916,3850,0,0,95.9333650761828,0,225.112250266097,0,135.908436433082,221.923912164666,0,0,-16,0,-19,0,-16,-16
407,4,0,4,1,10.0613045,0,0,3842,0,3734,0,3924,3862,0,0,166.536082785283,0,71.4962340093286,0,213.263148235595,141.829306571089,0,0,-19,0,-18,0,-16,-16
407,4,0,4,1,9.7676306,0,0,3808,0,3738,0,3928,3874,0,0,120.974142809681,0,131.77190833356,0,80.5497263421279,328.064460934104,0,0,-17,0,-16,0,-16,-16
407,4,0,4,1,10.2641531,0,0,3850,0,3764,0,3890,3824,0,0,67.1651439768818,0,114.554403614468,0,74.0108304488846,301.927570733194,0,0,-16,0,-19,0,-16,-16
407,4,0,4,2,13.2130803,0,0,3866,0,3718,0,3928,3870,0,0,56.915976005768,0,93.5599412983709,0,74.2108590726148,240.919874482673,0,0,-17,0,-17,0,-16,-16
407,4,0,4,1,10.2605878,0,0,3858,0,3772,0,3874,3866,0,0,147.281021650408,0,104.348127979956,0,220.174298157891,201.640673203201,0,0,-17,0,-16,0,-16,-16
407,4,0,4,1,10.0520556,0,0,3874,0,3756,0,3882,3824,0,0,99.1963442840587,0,60.285949873205,0,102.989563562292,228.299035208277,0,0,-17,0,-16,0,-16,-16
407,4,0,4,1,10.2771566,0,0,3854,0,3772,0,3886,3828,0,0,210.077289790921,0,114.832355557091,0,110.825623433362,193.185968069596,0,0,-16,0,-17,0,-16,-16
407,4,0,4,1,9.8381168,0,0,3854,0,3772,0,3886,3828,0,0,156.594781072567,0,71.3545623066552,0,244.545375790503,302.938683428482,0,0,-18,0,-17,0,-17,-17
407,4,0,4,1,9.8141008,0,0,3854,0,3772,0,3866,3832,0,0,131.510273798502,0,118.729232196699,0,81.3518680986294,306.748165636169,0,0,-16,0,-16,0,-16,-16
407,4,0,4,1,10.3032452,0,0,3886,0,3776,0,3878,3824,0,0,158.693147328089,0,127.520575590888,0,199.398419830747,318.052422042142,0,0,-18,0,-18,0,-16,-16
407,4,0,4,1,10.5847221,0,0,3866,0,3780,0,3878,3816,0,0,245.801735732384,0,75.3911823256437,0,75.3157957079582,223.961449681926,0,0,-16,0,-17,0,-16,-16
407,4,0,4,1,10.5386886,0,0,3886,0,3750,0,3910,3854,0,0,180.370859943288,0,144.473262604783,0,117.229387101512,294.50712247069,0,0,-17,0,-18,0,-16,-16
407,4,0,4,1,9.8609448,0,0,3850,0,3772,0,3898,3828,0,0,117.697030810116,0,66.9731805898328,0,189.29399077622,218.906882269871,0,0,-16,0,-18,0,-17,-16
407,4,0,4,1,10.4042964,0,0,3832,0,3738,0,3920,3854,0,0,203.391584288138,0,79.958910991221,0,157.778821309371,176.494727934856,0,0,-16,0,-20,0,-17,-16
407,4,0,4,1,10.2036414,0,0,3796,0,3722,0,3940,3878,0,0,180.832215268925,0,90.8988281381721,0,115.227038278422,206.020565343865,0,0,-16,0,-19,0,-16,-16
407,4,0,4,1,10.3399811,0,0,3796,0,3722,0,3936,3832,0,0,133.99105663489,0,109.516965644723,0,172.922572208607,146.522207491856,0,0,-16,0,-18,0,-16,-17
407,4,0,4,1,10.737948,0,0,3792,0,3722,0,3944,3870,0,0,131.304432466562,0,158.884799957377,0,140.683862353768,201.498004599477,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,10.0316744,0,0,3834,0,3752,0,3910,3846,0,0,128.56091657849,0,107.934225275605,0,222.554976226325,134.300374452971,0,0,-17,0,-19,0,-16,-16
407,4,0,4,1,9.6352835,0,0,3834,0,3760,0,3906,3846,0,0,161.1620703407,0,100.586870678976,0,184.35984701059,174.58107369506,0,0,-17,0,-20,0,-17,-16
407,4,0,4,1,9.9019467,0,0,3812,0,3738,0,3928,3862,0,0,111.169472351316,0,124.921960660993,0,95.3440455481113,173.958560712078,0,0,-17,0,-16,0,-16,-16
407,4,0,4,1,11.0868195,0,0,3792,0,3718,0,3932,3878,0,0,176.561379817482,0,101.846960682999,0,71.722752405208,336.283648958635,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,9.939944,0,0,3862,0,3784,0,3866,3824,0,0,201.922280883316,0,146.13550895777,0,197.88202830616,219.967031840756,0,0,-16,0,-16,0,-16,-16
407,4,0,4,1,9.7076872,0,0,3858,0,3776,0,3878,3832,0,0,204.622459978935,0,192.055095684937,0,224.846981014326,153.265406233815,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,9.9495994,0,0,3842,0,3768,0,3902,3842,0,0,145.271027808334,0,111.646310810683,0,144.118660592756,194.453418584871,0,0,-16,0,-17,0,-16,-17
407,4,0,4,1,10.0162787,0,0,3842,0,3734,0,3928,3862,0,0,134.399713903913,0,92.513892665187,0,178.04601214877,179.972854256621,0,0,-19,0,-18,0,-16,-16
407,4,0,4,1,9.9034784,0,0,3812,0,3734,0,3928,3862,0,0,159.074688884554,0,93.6768241292764,0,163.781592177401,204.702364224577,0,0,-18,0,-17,0,-16,-16
407,4,0,4,1,10.5360388,0,0,3874,0,3760,0,3890,3834,0,0,136.539445004394,0,78.2788579305552,0,78.2137580098757,332.845192175182,0,0,-16,0,-18,0,-17,-16
407,4,0,4,1,9.4210837,0,0,3812,0,3734,0,3928,3862,0,0,98.6808443409348,0,64.1373272929785,0,148.757671487302,228.537024180005,0,0,-17,0,-17,0,-16,-16
407,4,0,4,1,9.9934763,0,0,3828,0,3750,0,3914,3850,0,0,138.398998423135,0,166.836332674395,0,156.845753474746,189.169877490451,0,0,-16,0,-18,0,-16,-16
407,4,0,4,1,10.1512683,0,0,3812,0,3742,0,3924,3870,0,0,148.432299340174,0,114.988958111586,0,167.922105354329,121.752557368283,0,0,-17,0,-19,0,-16,-16
407,4,0,4,1,9.5527476,0,0,3820,0,3742,0,3944,3858,0,0,205.01099849675,0,87.2904086181722,0,76.4412482855845,273.403512127798,0,0,-17,0,-18,0,-16,-16
407,4,0,4,1,10.0500775,0,0,3804,0,3726,0,3936,3870,0,0,136.770629682347,0,52.9690092772812,0,143.485811564417,314.612933728084,0,0,-18,0,-18,0,-16,-16
